rainfall,temperature,n_value,p_value,k_value,ph,crop,yield_kg_per_ha
1200,28,45,30,40,6.2,Rice,4500
950,26,55,35,45,6.5,Wheat,3800
1100,30,50,40,50,6.0,Maize,5200
800,32,40,25,35,7.0,Cotton,2100
1400,27,60,45,55,6.2,Sugarcane,72000
1000,29,48,32,42,6.3,Soybean,2800
1300,28,52,38,48,6.4,Rice,4800
900,25,58,40,50,6.6,Wheat,4100
1150,31,45,35,45,5.8,Maize,4900
750,33,35,20,30,7.2,Cotton,1900
1500,26,65,50,60,6.1,Sugarcane,75000
1050,30,50,35,44,6.4,Soybean,3000
1250,27,48,33,46,6.3,Rice,4650
880,24,60,42,52,6.7,Wheat,3950
1180,29,47,37,47,6.1,Maize,5050
820,31,42,28,38,6.9,Cotton,2250
1350,28,58,42,52,6.2,Sugarcane,69500
980,28,46,30,40,6.5,Soybean,2650
